Item,Use
drinkbottles>0.5l,food-related
drinks,food-related
drugparaphanaliaorsyringes,medical/hygiene
drugs,medical/hygiene
drums,nonfoodrelatedpackaging
drums:55gallon,nonfoodrelatedpackaging
earplugs,safetyrelated
electionposters,large
energycan,nonfoodrelatedpackaging
engineoilbottles&containers<50cm,vehicledebris
engineoilbottles&containers>50cm,vehicledebris
e-wastefragments,electronicandelectricwaste
facemask,medical/hygiene
fastfoodcontainersorcups,food-related
femininehygeneitems,medical/hygiene
fencing,large
fenders,vehicledebris
fertilizeroranimalfeedbags,gardening&farmingrelated
fibreglassorfragments,constructionmaterials
filament<5mm,microplastics
film(thinkorflexiblee.g.strawwrapper),food-related
filmfragments,other
films<5mm,microplastics
filmstrip,electronicandelectricwaste
filterbox,nonfoodrelatedpackaging
fintrees(fromfinsforscubadiving),"scuba&snorkelgear,masks,snorkels,fins"
fireworks,shorelineandrecreationalactivites
fishaggregatingdevices,fishinggear
fishboxes,fishinggear
fishhook,fishinggear
"fishing:lures,rodsorpoles",fishinggear
"fishing:sinkers,lures,hooks",fishinggear
"fishingbouys,pots&traps",fishinggear
fishingline,fishinggear
fishingline(anglers),fishinggear
fishingline(entangled),fishinggear
fishinglineORnet,fishinggear
fishinglures,fishinggear
fishinglures&line,fishinggear
fishingluresorlightsticks,fishinggear
fishingnetandnetpieces>50cm,fishinggear
fishingnets,fishinggear
fishingrelated,fishinggear
fishingrubbertailbaits&weights,fishinggear
fishingtrapsandpots,fishinggear
fishingweights,fishinggear
fishingweightsorhooksorlures,fishinggear
fishpot,fishinggear
fishpot(eel),fishinggear
fizzydrinkbottle,food-related
flatpellets<5mm,microplastics
flip-flops,clothingandtextiles
floats(fishingbuoys)orreels,fishinggear
floatsforfishingnets,fishinggear
floorcover,large
flowerpots,gardening&farmingrelated
foil,food-related
food,food-related
foodorbeverageware,food-related
foodcans,food-related
foodjars,food-related
foodwrappers,food-related
foodwrappersorcontainers,food-related
football,entertainmentandtoys
forsaleposters,large
fragments,other
furniture,large
"gasbottles,drums&buckets(>4l)",vehicledebris
gloves,clothingandtextiles
golfball,entertainmentandtoys
granules<5mm,microplastics
hairtie,clothingandtextiles
hardhats,safetyrelated
homefoodpackaging,food-related
hooksettdisks,other
"ice-creamsticks,chipforks,chopsticks,toothpicks",food-related
icelollysticksorchipforks,food-related
iceteabottles,food-related
iceteacan,food-related
industrialpackagingorcratesorsheeting,constructionmaterials
industrialpellets,constructionmaterials
inhaler,medical/hygiene
injectionguncontainers,medical/hygiene
inner-tubes&rubbersheets,constructionmaterials
insulation&packaging,constructionmaterials
jarsincl.pieces,nonfoodrelatedpackaging
jerrycans(squareplasticcontainerswithhandle),nonfoodrelatedpackaging
juicebottles,food-related
juicecarton,food-related
juicepacket,food-related
juicescans,food-related
largedebrisitems,large
lids,nonfoodrelatedpackaging
lightbulbsortubes,electronicandelectricwaste
"lightglobes:bulbs,etc",electronicandelectricwaste
lightsticks(tubeswithfluid),electronicandelectricwaste
liquorbottles,food-related
lobsterorcrabpots&tops,fishinggear
lobsterandfishtags,fishinggear
lobsterclawbands,fishinggear
lollipopsticks&cottonbuds,commonhouseholditems
lollysticks,food-related
lumberorbuildingmaterial,constructionmaterials
macroplastics,other
magazines,entertainmentandtoys
maskingtape,officesupplies
matches(&fireworks),shorelineandrecreationalactivites
mattressorfoam,large
medicalorpharmaceuticalscontainersortubes,medical/hygiene
mediumplastics,other
meshvegetablebags,commonhouseholditems
middlesizecontainers,nonfoodrelatedpackaging
milkbottle,food-related
milkcarton,food-related
miscellaneousitems,other
monofilamentnetorfiber5-30mm,other
monofilamentnetorfiberlargerthan30mm,other
monofilamentnetorfiberupto5mm,microplastics
motorbikesorparts,vehicledebris
napkins,food-related
netsandpiecesofnet,fishinggear
netsandpiecesofnet<50cm,fishinggear
netsandpiecesofnet>50cm,fishinggear
"newspaper,books",entertainmentandtoys
newspapers&magazines,entertainmentandtoys
non-beveragecontainersorbottles,nonfoodrelatedpackaging
non-foodrelatedplasticpackaging,nonfoodrelatedpackaging
octopuspots,fishinggear
oil,vehicledebris
oilortar,vehicledebris
oildrums,vehicledebris
oilorpetrolcan,vehicledebris
"otherbottles,containersanddrums",nonfoodrelatedpackaging
othercans(<4l),nonfoodrelatedpackaging
otherfoodcansorwrappers,food-related
otheridentifiableitems,other
otherjugsorcontainers,nonfoodrelatedpackaging
"othermedicalitems(swabs,bandagingetc.)",medical/hygiene
othermixed,other
otherorganicwaste,other
ovoidpellets<5mm,microplastics
oysternetsormusselbagsincludingplasticstoppers,fishinggear
oystertrays(roundfromoystercultures),fishinggear
packaging,nonfoodrelatedpackaging
paintbrushes,entertainmentandtoys
painttins,entertainmentandtoys
pallets,constructionmaterials
pantyliners,medical/hygiene
paper,officesupplies
paperornapkinsortissues,commonhouseholditems
paraffinorwax,commonhouseholditems
parkingtickets&reciepts,commonhouseholditems
pegsandchips,commonhouseholditems
pellet,other
pens,officesupplies
pensorpencils,officesupplies
personalcareproducts,medical/hygiene
personalcareproducttube,medical/hygiene
pipes&rebar,constructionmaterials
piping,constructionmaterials
plasters,constructionmaterials
plates,food-related
popsiclestick,food-related
pulltabs:beverages,food-related
reciepts,commonhouseholditems
resinpellets,constructionmaterials
rigidplasticdisposablefoodandbegerageware,food-related
rope,nonfoodrelatedpackaging
rope&string,nonfoodrelatedpackaging
ropeorfishingline,fishinggear
rope<1meter,nonfoodrelatedpackaging
rope>1meter,nonfoodrelatedpackaging
ropediameter<1cm,nonfoodrelatedpackaging
ropediameter>1cm,nonfoodrelatedpackaging
ropelarge,nonfoodrelatedpackaging
ropemedium,nonfoodrelatedpackaging
ropesorstrappingbands,constructionmaterials
ropesmall,nonfoodrelatedpackaging
rubberbands,officesupplies
sacking,gardening&farmingrelated
"sails,canvas",ocean/waterwayactivities
saltpackaging,food-related
sanitaryproduct,medical/hygiene
sanitarytowelortampon,medical/hygiene
sanitarytowels,medical/hygiene
saucepacket,food-related
scrapormetalappliancesorpainttins,constructionmaterials
scuba&snorkelgear,"scuba&snorkelgear,masks,snorkels,fins"
scubaweights,"scuba&snorkelgear,masks,snorkels,fins"
"sharpneedles,lancets,metalcatheters",medical/hygiene
sheeting,constructionmaterials
"sheeting:tarpaulin,plasticsheets,palettewrap",constructionmaterials
sheeting<30cm,constructionmaterials
sheeting>60cm,constructionmaterials
sheeting30-60cm,constructionmaterials
sheetlikeuserpellets,other
sheetlikeuserplastic(>1mm),other
shippingorpackaging,nonfoodrelatedpackaging
shoe,clothingandtextiles
shoesorsandals,clothingandtextiles
shoppingbagsincl.pieces,nonfoodrelatedpackaging
shoppingtrolleys,large
shotguncartridges,recreationalfishingandhunting
signsorcones,constructionmaterials
singleuseplasticcarryoutbags,food-related
singlueusefoodcontainer,food-related
"six-packrings,ringcarriers",food-related
slackorcoal,other
smallelectronicitems,electronicandelectricwaste
smallindustrialspheres(<5mm),microplastics
"smallplasticbags,e.g.,freezerbags",nonfoodrelatedpackaging
softdrinkbottles,food-related
spheruloidspellets<5mm,microplastics
sponge,commonhouseholditems
sportdrinkbottles,food-related
sportsdrink,food-related
strappingbands,constructionmaterials
strappingbands(closed),constructionmaterials
strappingbands(open),constructionmaterials
strappingbandsorzip-ties,constructionmaterials
straws,food-related
"straws,stirrers",food-related
streetfoodbowl,food-related
string,commonhouseholditems
sunglasses,clothingandtextiles
sweetpapers,food-related
syringes,medical/hygiene
tableware,food-related
takeawaycup,food-related
take-outfoodbags,food-related
tamponapplicators,medical/hygiene
tampons,medical/hygiene
tamponsortamponapplicators,medical/hygiene
tanglednetsorcordorropeandstring,fishinggear
tape,officesupplies
telephone(incl.parts),electronicandelectricwaste
thinfilm,other
thongs,clothingandtextiles
threadlikeuserpellets,other
tires,vehicledebris
tobaccopackaging&wrappers,smoking-related
tobaccosachets,smoking-related
toiletfresheners,medical/hygiene
toiletpaper,medical/hygiene
toiletries,medical/hygiene
toothbrushes,medical/hygiene
toothpick,medical/hygiene
towelsorpantylinersorbackingstrips,medical/hygiene
towelsorrags,clothingandtextiles
toys,entertainmentandtoys
toys&partypoppers,entertainmentandtoys
"toys,balls",entertainmentandtoys
"toys,balls,partypoppers",entertainmentandtoys
toysorpartypoppersorfireworksordummies,entertainmentandtoys
trafficcones,constructionmaterials
trap,fishinggear
traporpotpieces,fishinggear
tubesforfireworks,shorelineandrecreationalactivites
tyresandbelts,vehicledebris
tyreswithholes,vehicledebris
tyreswithoutholesorwheels,vehicledebris
utensil,food-related
"vehicledebris,large",vehicledebris
"vehicledebris,small",vehicledebris
waterbottles,food-related
wetwipes,medical/hygiene
wheels,vehicledebris
winebottle,food-related
wire,constructionmaterials
"wire,wiremesh,barbedwire",constructionmaterials
woodboards,constructionmaterials
woodentrap,fishinggear
wrappers,food-related
Fragment,microplastics
Fiber,microplastics
Nurdle,microplastics
Film,microplastics
Foam,microplastics
Sphere,microplastics
Line,microplastics
Bead,microplastics
Sheet,microplastics
Film;Fragment,microplastics
Rubberyfragment,microplastics
Fiberbundle,microplastics
Other,microplastics
microplastic,microplastics
